n,avgIfdsBrightnessValue,make,model,modelName,makeName
19#4042,-8.574845731,19,4042,DROID_RAZR_HD,Motorola
19#3969,-5.2890625,19,3969,DROIDX32ec0021ffd800000a3a92,Motorola
318#4158,-5,318,4158,Spca1528,SunplusMM
99#1072,-5,99,1072,TDC5010,YASHICA
44#286,-5,44,286,DV,
51#2175,-4.2,51,2175,Vivicam,DigitalCamera
24#4306,-3.705,24,4306,FinePixHS28EXR,FUJIFILM
69#3001,-3.2,69,3001,dr4,Rollei
78#767,-3,78,767,TransformerPrimeTF201,ASUS
78#953,-3,78,953,Nexus7,ASUS
78#3716,-3,78,3716,TransformerTF101,ASUS
78#3918,-3,78,3918,ASUSTransformerPadTF300T,ASUS
78#3985,-3,78,3985,ASUSTransformerPadTF700T,ASUS
73#727,-2.920689655,73,727,RDC-7,RICOH
39#2191,-2.877748843,39,2191,HPPhotoSmartR727(V01.00),Hewlett-Packard
19#3512,-2.4375,19,3512,DROIDX61940001fff80000015a9c,Motorola
24#3064,-2.42,24,3064,FinePixF50SE,FUJIFILM
19#3709,-2.30078125,19,3709,DROIDPRO11960021ffd80000015,Motorola
96#1631,-2.257142857,96,1631,KonicaDigitalCameraKD-500Z,KonicaCorporation
61#1314,-2,61,1314,Nexus10,Google
15#4254,-1.970586,15,4254,One,HTC
212#2553,-1.782897059,212,2553,AL730,Altek
39#2871,-1.671875,39,2871,HPPhotoSmartR717(V01.00)d,Hewlett-Packard
24#4081,-1.67,24,4081,FinePixS2970,FUJIFILM
96#2314,-1.621428571,96,2314,KonicaDigitalCameraKD-310Z,KonicaCorporation
24#565,-1.62126087,24,565,FujifilmA170A180,FUJIFILM
51#3193,-1.5,51,3193,Best,DigitalCamera
19#3610,-1.46484375,19,3610,DROIDX75280001ffd800000a3a9d,Motorola
19#4208,-1.45703125,19,4208,DROIDX28b80001ffd80000015ed9,Motorola
24#4005,-1.4,24,4005,FinePixJZ310,FUJIFILM
19#3943,-1.303385417,19,3943,DROIDX55680001ffd800000a3a56,Motorola
39#2518,-1.290193257,39,2518,HPPhotoSmartC850(V05.42),Hewlett-Packard
51#1608,-1.091666667,51,1608,ND-4020DigitalCamera,DigitalCamera
19#633,-1,19,633,XT1092,Motorola
19#1344,-1,19,1344,MotoE2,Motorola
19#1345,-1,19,1345,XT1022,Motorola
19#1346,-1,19,1346,XT1068,Motorola
19#1347,-1,19,1347,XT1225,Motorola
19#1406,-1,19,1406,XT1080,Motorola
19#1795,-1,19,1795,XT1033,Motorola
19#1902,-1,19,1902,XT1052,Motorola
19#1961,-1,19,1961,XT1049,Motorola
19#2003,-1,19,2003,XT1021,Motorola
19#2004,-1,19,2004,XT1032,Motorola
19#2291,-1,19,2291,XT1034,Motorola
19#2472,-1,19,2472,XT1056,Motorola
19#2473,-1,19,2473,XT1060,Motorola
15#2088,-0.980128182,15,2088,HTC_One_max,HTC
39#551,-0.94921875,39,551,HPPhotosmartM22(V01.00)+,Hewlett-Packard
86#3804,-0.901,86,3804,940SH,SHARP
24#3996,-0.89,24,3996,FinePixS2995,FUJIFILM
19#3833,-0.853515625,19,3833,DROIDPro,Motorola
24#2873,-0.785,24,2873,FinePixZ3,FUJIFILM
24#4249,-0.75,24,4249,FinePixAX330,FUJIFILM
5#3470,-0.7,5,3470,GT-i7500,SAMSUNG
5#2073,-0.636666667,5,2073,SM-N900T,SAMSUNG
19#3644,-0.625,19,3644,DROIDX402a0001ffd80000015d6d,Motorola
7#4078,-0.56484375,7,4078,SonyNEX-5NwithCanonFD85m,Sony
19#2478,-0.550347222,19,2478,MB5250caa0002ffd80000016099c,Motorola
19#4025,-0.53349253,19,4025,XT907,Motorola
39#3029,-0.504788306,39,3029,HPPhotoSmartR927(V01.00)d,Hewlett-Packard
39#3098,-0.4921875,39,3098,HPPhotoSmartR507(V01.00)d,Hewlett-Packard
5#4192,-0.42,5,4192,SHV-E110S,SAMSUNG
73#4048,-0.3,73,4048,CX6,RICOH
7#4077,-0.25234375,7,4077,SonyNEX-5NwithKonicaHexan,Sony
19#3955,-0.1640625,19,3955,A95340580002ffdc000001681263,Motorola
24#3635,-0.12,24,3635,FinePixAV130,FUJIFILM
4#3770,-0.1,4,3770,HM-TA1,Panasonic
4#4190,-0.1,4,4190,HX-WA30,Panasonic
73#4260,-0.1,73,4260,PX.,RICOH
142#1595,-0.1,142,1595,HMX20,SamsungElectronics
26#1565,-0.1,26,1565,VLUUL77/L77DigitalCamera,SamsungTechwin
74#728,-0.1,74,728,HD1000,SANYOElectricCo.Ltd.
74#1026,-0.1,74,1026,CA8,SANYOElectricCo.Ltd.
74#1228,-0.1,74,1228,HD800,SANYOElectricCo.Ltd.
74#1603,-0.1,74,1603,CA65,SANYOElectricCo.Ltd.
74#2018,-0.1,74,2018,CA9,SANYOElectricCo.Ltd.
74#2029,-0.1,74,2029,HD1010,SANYOElectricCo.Ltd.
74#2193,-0.1,74,2193,CA100,SANYOElectricCo.Ltd.
74#2194,-0.1,74,2194,HD2000,SANYOElectricCo.Ltd.
74#2219,-0.1,74,2219,CG6,SANYOElectricCo.Ltd.
74#2335,-0.1,74,2335,HD2,SANYOElectricCo.Ltd.
74#3053,-0.1,74,3053,HD700,SANYOElectricCo.Ltd.
74#3377,-0.1,74,3377,FH1,SANYOElectricCo.Ltd.
74#3392,-0.1,74,3392,CG9,SANYOElectricCo.Ltd.
74#3405,-0.1,74,3405,CG10,SANYOElectricCo.Ltd.
74#3545,-0.1,74,3545,X1250,SANYOElectricCo.Ltd.
74#3616,-0.1,74,3616,E2,SANYOElectricCo.Ltd.
74#4061,-0.1,74,4061,CG20,SANYOElectricCo.Ltd.
74#4149,-0.1,74,4149,CG65,SANYOElectricCo.Ltd.
74#4323,-0.1,74,4323,FH1A,SANYOElectricCo.Ltd.
38#828,-0.050000003,38,828,DiMAGEE323,MinoltaCo.Ltd.
126#1404,0,126,1404,WP-S1,AMOI
14#35,0,14,35,CanonEOS500D,Canon
14#138,0,14,138,CanonEOS5DMarkII,Canon
14#184,0,14,184,CanonEOS40D,Canon
14#185,0,14,185,CanonEOS7D,Canon
14#304,0,14,304,CanonEOS5D,Canon
18#841,0,18,841,KODAKEASYSHAREZ915DIGITAL,EASTMANKODAKCOMPANY
18#942,0,18,942,KODAKEASYSHAREZ1085ISZOOM,EASTMANKODAKCOMPANY
18#956,0,18,956,KODAKEASYSHAREZ1012ISDigi,EASTMANKODAKCOMPANY
18#1408,0,18,1408,KODAKEASYSHAREZ950DIGITAL,EASTMANKODAKCOMPANY
18#1476,0,18,1476,KODAKEASYSHAREM1033DIGITAL,EASTMANKODAKCOMPANY
18#1698,0,18,1698,KODAKPLAYSPORTVideoCamera,EASTMANKODAKCOMPANY
18#3119,0,18,3119,KODAKEASYSHAREV1273DIGITAL,EASTMANKODAKCOMPANY
18#3126,0,18,3126,KODAKEASYSHAREZ8612ISDigi,EASTMANKODAKCOMPANY
18#3168,0,18,3168,KODAKEASYSHAREM1093ISDIGI,EASTMANKODAKCOMPANY
18#3229,0,18,3229,KODAKEASYSHAREV1073DIGITAL,EASTMANKODAKCOMPANY
18#3324,0,18,3324,KODAKEASYSHAREM380DIGITAL,EASTMANKODAKCOMPANY
18#3356,0,18,3356,KODAKEASYSHAREC190DIGITAL,EASTMANKODAKCOMPANY
18#3370,0,18,3370,KODAKEASYSHAREZ1485ISDIGI,EASTMANKODAKCOMPANY
190#2287,0,190,2287,SPH-M800,ES.M800
24#2806,0,24,2806,MX-500,FUJIFILM
24#3282,0,24,3282,MX-700,FUJIFILM
24#4312,0,24,4312,FinePix600Z,FUJIFILM
15#1323,0,15,1323,HTCOneX+,HTC
15#1837,0,15,1837,HTCSmart,HTC
63#1648,0,63,1648,HUAWEIP7-L10,HUAWEI
63#2114,0,63,2114,MediaPad10FHD,HUAWEI
63#2115,0,63,2115,MediaPadM18,HUAWEI
63#2492,0,63,2492,HUAWEIU9508,HUAWEI
63#2501,0,63,2501,HUAWEIP7-L00,HUAWEI
63#3954,0,63,3954,U9200,HUAWEI
257#3203,0,257,3203,KP202,LGELEC
257#3350,0,257,3350,Mobile,LGELEC
257#3772,0,257,3772,KP17X,LGELEC
147#4175,0,147,4175,KB775F,LGElec.
16#43,0,16,43,LG-VX8575,LGElectronics
16#527,0,16,527,LG-SU540,LGElectronics
16#528,0,16,528,LG-SU870,LGElectronics
16#1337,0,16,1337,LG-P765,LGElectronics
16#2028,0,16,2028,LG-P940,LGElectronics
16#2509,0,16,2509,LG-P940.,LGElectronics
206#2028,0,206,2028,LG-P940,LGElectronics.
206#2509,0,206,2509,LG-P940.,LGElectronics.
207#2028,0,207,2028,LG-P940,LGElectronics=
208#2511,0,208,2511,LG-P940u,LGElectronicsp
246#3031,0,246,3031,MG295d,LGMobile
118#1340,0,118,1340,W121,MICROMAX
19#850,0,19,850,DROIDRAZR,Motorola
19#851,0,19,851,DROIDRAZR=,Motorola
19#852,0,19,852,DROIDRAZRe,Motorola
19#853,0,19,853,DROIDRAZRP,Motorola
19#1411,0,19,1411,Nexus6,Motorola
19#2401,0,19,2401,DROIDBIONIC,Motorola
81#848,0,81,848,DROIDRAZRo,motorola1
82#849,0,82,849,DROIDRAZRu,motorola5
83#854,0,83,854,DROIDRAZRt,motorolae
84#855,0,84,855,DROIDRAZRa,motorolai
85#856,0,85,856,DROIDRAZRs,motorolam
6#16,0,6,16,NIKOND70s,Nikon Corporation
6#162,0,6,162,NIKOND40,Nikon Corporation
202#2807,0,202,2807,DS6688A,OregonScientific
202#3699,0,202,3699,PV100,OregonScientific
4#309,0,4,309,DMC-GF1,Panasonic
4#636,0,4,636,DMC-F3,Panasonic
4#1260,0,4,1260,DMC-FX8,Panasonic
70#2252,0,70,2252,P7040,PANTECH
101#1087,0,101,1087,IX-30,PRIMAX
283#2130,0,283,2130,1.3Megapixel,Q6055BSKAXLZ33701
275#3348,0,275,3348,2Megapixel,Q6085Bsnaxaz33504
20#4002,0,20,4002,Blackberry10DevAlpha,ResearchInMotion
73#4008,0,73,4008,GXRMOUNTA12,RICOH
73#4112,0,73,4112,GXRMOUNTA12_CBiogonT*28,RICOH
5#112,0,5,112,GalaxyNexus,SAMSUNG
5#155,0,5,155,SAMSUNGST60/VLUUST60/SA,SAMSUNG
5#301,0,5,301,GT-I9195,SAMSUNG
5#2373,0,5,2373,GT-P7510,SAMSUNG
5#3528,0,5,3528,SAMSUNGWP10/VLUUWP10/SA,SAMSUNG
5#3798,0,5,3798,GT-P7500,SAMSUNG
5#3857,0,5,3857,GT-E2370,SAMSUNG
5#3898,0,5,3898,GT-E2121B,SAMSUNG
5#3935,0,5,3935,GalaxyX,SAMSUNG
5#4003,0,5,4003,SGH-I927,SAMSUNG
5#4198,0,5,4198,GT-I9103,SAMSUNG
330#4314,0,330,4314,GT-E2120L,SAMSUNG.L...
142#2167,0,142,2167,G80L,SamsungElectronics
142#2265,0,142,2265,SGH-F480,SamsungElectronics
142#2566,0,142,2566,U700,SamsungElectronics
26#3059,0,26,3059,<SamsungNV3SamsungVLUUNV,SamsungTechwin
74#1784,0,74,1784,C1,SANYOElectricCo.Ltd.
74#3223,0,74,3223,DSC-MZ3,SANYOElectricCo.Ltd.
74#3437,0,74,3437,VPC-MZ3GX,SANYOElectricCo.Ltd.
86#2578,0,86,2578,935SH,SHARP
160#1830,0,160,1830,524Z3DigitalCamera,YAKUMO
95#1566,0.104483871,95,1566,DCE800,BenQ
24#3596,0.28,24,3596,FinePixJZ500,FUJIFILM
58#554,0.32005,58,554,TegraCamera,NVIDIA
19#3625,0.34375,19,3625,DROIDX3da00021fff80000015d68,Motorola
5#3855,0.361666667,5,3855,SGH-I997R,SAMSUNG
5#2535,0.407142857,5,2535,GT-S8000H,SAMSUNG
3#95,0.428941829,3,95,iPhone,apple
19#3968,0.455202751,19,3968,AtrixHD,Motorola
15#1321,0.51822348,15,1321,HTCOne(M8Eye),HTC
39#1620,0.549703664,39,1620,HPPhotoSmartC935(V03.75),Hewlett-Packard
19#3601,0.584635417,19,3601,DROID2GLOBAL22280001ffd8000,Motorola
19#3972,0.594,19,3972,XT890,Motorola
19#3643,0.64453125,19,3643,MotoA95373020002ffd80000015f,Motorola
5#1977,0.71,5,1977,SM-N900K,SAMSUNG
15#1316,0.7496757,15,1316,HTCDesire816dualsim,HTC
19#4224,0.78125,19,4224,MB52563ee0002ffdc00000168021,Motorola
7#1541,0.794594595,7,1541,NEX-5C,Sony
19#4237,0.814672005,19,4237,XT925,Motorola
5#443,0.826,5,443,GT-I9300I,SAMSUNG
14#52,0.826171875,14,52,CanonEOS400DDIGITAL,Canon
5#1848,0.834285714,5,1848,SM-P601,SAMSUNG
19#3990,0.848168901,19,3990,DROIDRAZRHD,Motorola
7#2198,0.930649038,7,2198,DSC-RX1R,Sony
19#3963,0.982369675,19,3963,XT897,Motorola
24#2997,0.996666667,24,2997,FinePixA605,FUJIFILM
304#3879,1,304,3879,FS561,DNINE
325#4259,1,325,4259,FS355N,IMAGE
230#3574,1,230,3574,W21SA,KDDI-SA
230#3687,1,230,3687,W52SA,KDDI-SA
270#3321,1,270,3321,W55SA,KDDI-ST
55#488,1,55,488,SJ4000,MAKERNAME
73#3272,1,73,3272,G600,RICOH
86#3738,1.004,86,3738,SBM003SH,SHARP
5#3740,1.06,5,3740,GT-S8500T,SAMSUNG
19#3697,1.0703125,19,3697,DROID2GLOBAL3b7e0001ffd8000,Motorola
39#2689,1.078125,39,2689,HPPhotoSmartC945(V01.61),Hewlett-Packard
39#2923,1.123046875,39,2923,HPPhotoSmartR725(V01.00)d,Hewlett-Packard
5#2337,1.164666667,5,2337,SM-N9006,SAMSUNG
19#1768,1.212273849,19,1768,Milestone,Motorola
24#3750,1.26,24,3750,FinePixJV110,FUJIFILM
24#3947,1.276666667,24,3947,FinePixS3380,FUJIFILM
152#4273,1.357528739,152,4273,F-10D,Fujitsu
24#325,1.369450549,24,325,FinePixF601ZOOM,FUJIFILM
24#1704,1.371428571,24,1704,FinePixSL1000,FUJIFILM
5#509,1.388333333,5,509,SM-P600,SAMSUNG
5#4269,1.41796875,5,4269,SGH-I337,SAMSUNG
5#3630,1.43,5,3630,GT-I9000B,SAMSUNG
15#4232,1.4685985,15,4232,HTC6500LVW,HTC
19#3564,1.5546875,19,3564,DROID2GLOBAL00080001ffd8000,Motorola
5#3529,1.578759124,5,3529,SPH-D700,SAMSUNG
24#986,1.616122449,24,986,FinePixJV100,FUJIFILM
5#1972,1.654296875,5,1972,SHV-E210S,SAMSUNG
24#3962,1.68,24,3962,FinePixJ37,FUJIFILM
91#3146,1.7,91,3146,F900iC,DoCoMo
19#3548,1.71875,19,3548,MotoroiX24740022ffd80000015f,Motorola
19#2071,1.741753472,19,2071,DROIDPRO22f20001ffd800000a3,Motorola
39#3137,1.744140625,39,3137,HPPhotoSmartR818(V01.00)+,Hewlett-Packard
24#3789,1.75,24,3789,FinePixS2550HD,FUJIFILM
24#2072,1.764411765,24,2072,FinePixS1Pro,FUJIFILM
15#1324,1.765736913,15,1324,HTCOne_E8dualsim,HTC
24#2984,1.77,24,2984,FinePix2800Z,FUJIFILM
5#4210,1.77,5,4210,SHV-E300L,SAMSUNG
5#1552,1.780740741,5,1552,SAMSUNG-SM-G900A,SAMSUNG
5#4266,1.81,5,4266,GT-I9080L,SAMSUNG
39#2898,1.822265625,39,2898,HPPhotosmartM22(V01.00),Hewlett-Packard
24#2206,1.837619048,24,2206,FinePixAV110,FUJIFILM
39#2977,1.886666667,39,2977,HPPhotosmartMz60,Hewlett-Packard
5#3844,1.89,5,3844,SCH-I400,SAMSUNG
5#3502,1.928,5,3502,SGH-T959,SAMSUNG
19#3547,1.98828125,19,3547,DROID22f7e0001fff80000015d80,Motorola
18#3509,2,18,3509,KODAKEasyShareZ981Digital,EASTMANKODAKCOMPANY
5#4019,2.00390625,5,4019,SHV-E250S,SAMSUNG
7#80,2.021552795,7,80,NEX-5,Sony
86#3587,2.082,86,3587,IS03,SHARP
24#1283,2.111961722,24,1283,FinePixF60fd,FUJIFILM
24#1932,2.12,24,1932,FinePixS1900,FUJIFILM
53#471,2.126712726,53,471,Protected,Protected
5#3665,2.1325,5,3665,SGH-T959D,SAMSUNG
7#4076,2.13828125,7,4076,SonyNEX-5NwithCanonFD100,Sony
39#2794,2.15,39,2794,HPPhotosmartE217,Hewlett-Packard
5#39,2.178244275,5,39,GT-I9082,SAMSUNG
19#4009,2.1796875,19,4009,MB6114c3c0001ffd80000015ed13,Motorola
7#1412,2.2096,7,1412,DSLR-A580,Sony
5#787,2.2344,5,787,GT-I9105P,SAMSUNG
7#1542,2.260866667,7,1542,NEX-C3,Sony
39#2617,2.28,39,2617,hp635DigitalCamera,Hewlett-Packard
19#3703,2.29296875,19,3703,MB52558900002ffdc00000163c00,Motorola
5#1674,2.296756629,5,1674,SGH-T999,SAMSUNG
19#3626,2.298117898,19,3626,DROIDX5cc80001ffd80000016057,Motorola
75#3021,2.3,75,3021,Vivicam5105s,Vivitar
19#1767,2.301333333,19,1767,RAZRi,Motorola
5#3792,2.315,5,3792,SGH-I917,SAMSUNG
24#2935,2.316111111,24,2935,FinePixA820,FUJIFILM
39#2929,2.32421875,39,2929,HPPhotosmartM22(V01.00)d.,Hewlett-Packard
5#3686,2.336,5,3686,SGH-T959V,SAMSUNG
19#3917,2.34073647,19,3917,MB886,Motorola
5#2563,2.38,5,2563,GT-I9152,SAMSUNG
5#2421,2.398536585,5,2421,SHW-M250S,SAMSUNG
24#2742,2.41,24,2742,FinePixA403,FUJIFILM
24#4316,2.43,24,4316,FinePixT310,FUJIFILM
5#2390,2.472941176,5,2390,SM-N910F,SAMSUNG
7#123,2.49248366,7,123,NEX-3,Sony
39#2625,2.498046875,39,2625,HPPhotoSmartR727(V01.00)+,Hewlett-Packard
19#4193,2.5078125,19,4193,DROID2504e0001fff80000015d95,Motorola
19#3524,2.533203125,19,3524,DROID2049a0001fff80000015da4,Motorola
24#2453,2.548201893,24,2453,X-Pro1,FUJIFILM
24#139,2.56,24,139,FinePixXP10,FUJIFILM
24#624,2.56,24,624,FinePixJ15fd,FUJIFILM
24#1612,2.56,24,1612,FinePixZ35,FUJIFILM
24#2250,2.56,24,2250,FinePixJ10,FUJIFILM
24#3236,2.56,24,3236,FinePixJ12,FUJIFILM
24#3289,2.56,24,3289,FinePixJ20,FUJIFILM
24#3297,2.56,24,3297,A150,FUJIFILM
24#3304,2.56,24,3304,A100,FUJIFILM
24#3484,2.56,24,3484,FinePixJ25,FUJIFILM
24#3516,2.56,24,3516,FinePixZ37,FUJIFILM
24#4004,2.56,24,4004,FinePixJ22,FUJIFILM
24#571,2.57,24,571,X100S,FUJIFILM
39#2353,2.573939732,39,2353,HPPhotosmartR960(V01.00)+,Hewlett-Packard
19#2046,2.629427083,19,2046,DROID2GLOBAL1c080001ffd8000,Motorola
5#1978,2.642222222,5,1978,SM-N915K,SAMSUNG
15#2087,2.650252154,15,2087,HTCButterflys,HTC
39#2936,2.654947917,39,2936,HPPhotoSmartR607(V01.00)d,Hewlett-Packard
19#3589,2.655048077,19,3589,DROID2GLOBAL020c0021ffd8000,Motorola
3#1636,2.660927398,3,1636,iPadAir2,apple
24#2692,2.670444444,24,2692,FinePix2650,FUJIFILM
24#2693,2.675327869,24,2693,FinePixA205,FUJIFILM
5#2006,2.680769231,5,2006,SC-03D,SAMSUNG
7#1686,2.680924479,7,1686,NEX-VG30E,Sony
24#799,2.710677966,24,799,FinePixF810,FUJIFILM
73#1669,2.718604651,73,1669,RICOHR8,RICOH
5#3553,2.724615385,5,3553,SCH-I500,SAMSUNG
24#3773,2.730666667,24,3773,FinePixS3280,FUJIFILM
7#613,2.753082707,7,613,DSLR-A200,Sony
24#925,2.773535714,24,925,FinePixX100,FUJIFILM
39#3083,2.775333333,39,3083,HPPhotosmartM440,Hewlett-Packard
24#3835,2.78,24,3835,FinePixJX360,FUJIFILM
19#3778,2.783333333,19,3778,DROID2,Motorola
91#3111,2.79,91,3111,F700i,DoCoMo
24#3457,2.806666667,24,3457,FinePixJ27J28J29,FUJIFILM
41#3026,2.81,41,3026,ALPHASWEETDIGITAL,KONICAMINOLTA
19#2380,2.827314269,19,2380,DROID2GLOBAL,Motorola
5#3936,2.8359375,5,3936,SCH-R530U,SAMSUNG
